"date","team1","team2","map","event","matchid","teamid1","teamid2","eventid","score1","score2"
"18/2 14","mousesports (16)","HellRaisers (5)","dust2","Fnatic FragOut League Season 3","16312","4494","5310","1310","16","5"
"18/2 14","mousesports (16)","HellRaisers (6)","nuke","Fnatic FragOut League Season 3","16311","4494","5310","1310","16","6"
"18/2 14","mousesports (3)","HellRaisers (16)","inferno","Fnatic FragOut League Season 3","16310","4494","5310","1310","3","16"
"17/2 14","Clan-Mystik (14)","LDLC (16)","nuke","Fnatic FragOut League Season 3","16309","4948","4674","1310","14","16"
"17/2 14","LDLC (16)","Clan-Mystik (6)","inferno","Fnatic FragOut League Season 3","16308","4674","4948","1310","16","6"
"17/2 14","3DMAX (13)","LGB (16)","inferno","Fnatic FragOut League Season 3","16307","4448","5028","1310","13","16"
"17/2 14","LGB (16)","3DMAX (5)","dust2","Fnatic FragOut League Season 3","16306","5028","4448","1310","16","5"
"16/2 14","TeamCRG (16)","TLM (7)","inferno","epic.TWELVE","16305","4526","5377","1314","16","7"
"16/2 14","HEADSHOTBG (16)","GamePub (19)","inferno","SteelSeries CS:GO Calling","16302","4690","5273","1313","16","19"
"16/2 14","HEADSHOTBG (9)","GamePub (16)","nuke","SteelSeries CS:GO Calling","16301","4690","5273","1313","9","16"
"16/2 14","ENTiTY (8)","GamePub (16)","inferno","SteelSeries CS:GO Calling","16415","4802","5273","1313","8","16"
"16/2 14","GamePub (16)","ENTiTY (11)","nuke","SteelSeries CS:GO Calling","16414","5273","4802","1313","16","11"
"16/2 14","HEADSHOTBG (16)","E-Frag (12)","nuke","SteelSeries CS:GO Calling","16417","4690","4731","1313","16","12"
"16/2 14","HEADSHOTBG (16)","E-Frag (7)","mirage","SteelSeries CS:GO Calling","16416","4690","4731","1313","16","7"
"12/2 14","H2k (13)","fnatic (16)","train","Fnatic FragOut League Season 3","16300","4904","4991","1310","13","16"
"12/2 14","fnatic (16)","H2k (13)","nuke","Fnatic FragOut League Season 3","16299","4991","4904","1310","16","13"
"6/2 14","TEAMSWAGYOLO (8)","97club (16)","nuke","EMS One Katowice CIS Qualifier Cup #3","16294","5338","5342","1302","8","16"
"6/2 14","TEAMSWAGYOLO (7)","97club (16)","inferno","EMS One Katowice CIS Qualifier Cup #3","16293","5338","5342","1302","7","16"
"2/2 14","myKPV (3)","Death.Energy (16)","train","EMS One Katowice German Qualifier Cup #2","16288","5355","5171","1301","3","16"
"2/2 14","Death.Energy (13)","myKPV (16)","dust2","EMS One Katowice German Qualifier Cup #2","16287","5171","5355","1301","13","16"
"2/2 14","Death.Energy (16)","myKPV (10)","inferno","EMS One Katowice German Qualifier Cup #2","16286","5171","5355","1301","16","10"
"2/2 14","MTF Gaming (16)","Northern Lions (5)","inferno","EMS One Katowice German Qualifier Cup #2","16285","4694","5354","1301","16","5"
"2/2 14","MTF Gaming (16)","Northern Lions (5)","dust2","EMS One Katowice German Qualifier Cup #2","16284","4694","5354","1301","16","5"
"1/2 14","UNKNOWN (16)","YDK.ME (14)","nuke","EMS One Katowice German Qualifier Cup #2","16283","5353","5352","1301","16","14"
"1/2 14","YDK.ME (4)","UNKNOWN (16)","inferno","EMS One Katowice German Qualifier Cup #2","16282","5352","5353","1301","4","16"
"1/2 14","HyperShots (16)","NONsens3 (8)","inferno","EMS One Katowice Polish Qualifier Cup #3","16298","5360","5361","1300","16","8"
"1/2 14","HyperShots (16)","NONsens3 (11)","dust2","EMS One Katowice Polish Qualifier Cup #3","16297","5360","5361","1300","16","11"
"1/2 14","haxiere (16)","rudy102 (9)","nuke","EMS One Katowice Polish Qualifier Cup #3","16296","5363","5362","1300","16","9"
"1/2 14","rudy102 (5)","haxiere (16)","dust2","EMS One Katowice Polish Qualifier Cup #3","16295","5362","5363","1300","5","16"
"1/2 14","97club (16)","NOTBAD (6)","inferno","EMS One Katowice CIS Qualifier Cup #3","16292","5342","5358","1302","16","6"
"1/2 14","NOTBAD (11)","97club (16)","mirage","EMS One Katowice CIS Qualifier Cup #3","16291","5358","5342","1302","11","16"
"1/2 14","mysterious (5)","TEAMSWAGYOLO (16)","dust2","EMS One Katowice CIS Qualifier Cup #3","16290","5301","5338","1302","5","16"
"1/2 14","mysterious (13)","TEAMSWAGYOLO (16)","inferno","EMS One Katowice CIS Qualifier Cup #3","16289","5301","5338","1302","13","16"
"1/2 14","ALTERNATE (16)","ServerForge (12)","dust2","EMS One Katowice German Qualifier Cup #2","16281","4501","4553","1301","16","12"
"1/2 14","ServerForge (9)","ALTERNATE (16)","inferno","EMS One Katowice German Qualifier Cup #2","16280","4553","4501","1301","9","16"
"1/2 14","H2k (16)","Minttu (8)","mirage","Assembly Winter 2014","16277","4904","5298","1291","16","8"
"1/2 14","H2k (16)","Minttu (5)","inferno","Assembly Winter 2014","16276","4904","5298","1291","16","5"
"1/2 14","Minttu (16)","H2k (12)","dust2","Assembly Winter 2014","16275","5298","4904","1291","16","12"
"1/2 14","partyastronauts (6)","ENCE (16)","train","Assembly Winter 2014","16274","4732","4869","1291","6","16"
"1/2 14","partyastronauts (11)","ENCE (16)","dust2","Assembly Winter 2014","16273","4732","4869","1291","11","16"
"1/2 14","Minttu (16)","partyastronauts (7)","inferno","Assembly Winter 2014","16272","5298","4732","1291","16","7"
"1/2 14","partyastronauts (2)","Minttu (16)","dust2","Assembly Winter 2014","16271","4732","5298","1291","2","16"
"1/2 14","ENCE (7)","H2k (16)","inferno","Assembly Winter 2014","16270","4869","4904","1291","7","16"
"1/2 14","ENCE (15)","H2k (19)","dust2","Assembly Winter 2014","16268","4869","4904","1291","15","19"
"31/1 14","H2k (16)","Cursive (6)","inferno","Assembly Winter 2014","16264","4904","4934","1291","16","6"
"31/1 14","Cursive (16)","MayaM (9)","dust2","Assembly Winter 2014","16267","4934","5056","1291","16","9"
"31/1 14","H2k (10)","Minttu (16)","train","Assembly Winter 2014","16263","4904","5298","1291","10","16"
"31/1 14","MayaM (7)","H2k (16)","nuke","Assembly Winter 2014","16262","5056","4904","1291","7","16"
"31/1 14","Minttu (19)","Cursive (17)","dust2","Assembly Winter 2014","16265","5298","4934","1291","19","17"
"31/1 14","Paranoia (12)","partyastronauts (16)","inferno","Assembly Winter 2014","16261","4484","4732","1291","12","16"
"31/1 14","Paranoia (19)","Menace (17)","mirage","Assembly Winter 2014","16259","4484","4576","1291","19","17"
"31/1 14","partyastronauts (13)","ENCE (16)","dust2","Assembly Winter 2014","16258","4732","4869","1291","13","16"
"31/1 14","Menace (12)","partyastronauts (16)","inferno","Assembly Winter 2014","16257","4576","4732","1291","12","16"
"31/1 14","ENCE (16)","Paranoia (6)","dust2","Assembly Winter 2014","16256","4869","4484","1291","16","6"
"26/1 14","Team Ozone (16)","Team Gamershop (6)","nuke","Showmatch CS:GO","16255","5331","5332","1040","16","6"
"26/1 14","Team Ozone (16)","Team Gamershop (9)","inferno","Showmatch CS:GO","16254","5331","5332","1040","16","9"
"26/1 14","webSPELL (16)","CyberPc (4)","inferno","EMS One Katowice French Qualifier Cup #2","16279","4449","5329","1297","16","4"
"26/1 14","webSPELL (16)","CyberPc (6)","mirage","EMS One Katowice French Qualifier Cup #2","16278","4449","5329","1297","16","6"
"26/1 14","Minttu (16)","zX9 (13)","dust2","EMS One Katowice Nordic Qualifier Cup #2","16253","5298","5280","1296","16","13"
"26/1 14","zX9 (8)","Minttu (16)","inferno","EMS One Katowice Nordic Qualifier Cup #2","16252","5280","5298","1296","8","16"
"26/1 14","H2k (16)","Reason (14)","nuke","EMS One Katowice Nordic Qualifier Cup #2","16251","4904","5208","1296","16","14"
"26/1 14","H2k (16)","Reason (21)","train","EMS One Katowice Nordic Qualifier Cup #2","16249","4904","5208","1296","16","21"
"26/1 14","H2k (16)","Reason (3)","inferno","EMS One Katowice Nordic Qualifier Cup #2","16248","4904","5208","1296","16","3"
