"date","team1","team2","map","event","matchid","teamid1","teamid2","eventid","score1","score2"
"14/12 13","n!faculty (16)","Reason (11)","inferno","Gaming.dk SteelSeries Championship Invite Finals 2013","16129","4983","5208","1276","16","11"
"14/12 13","mousesports (16)","3DMAX (13)","dust2","ESL Pro Series Germany Winter Season 2013","16128","4494","4901","1271","16","13"
"14/12 13","mousesports (16)","3DMAX (10)","cache","ESL Pro Series Germany Winter Season 2013","16127","4494","4901","1271","16","10"
"14/12 13","NiP (16)","SK (3)","dust2","Svecup Grand Finals 2013","16126","4411","5152","1277","16","3"
"14/12 13","SK (14)","NiP (16)","mirage","Svecup Grand Finals 2013","16125","5152","4411","1277","14","16"
"14/12 13","NiP (12)","SK (16)","inferno","Svecup Grand Finals 2013","16124","4411","5152","1277","12","16"
"14/12 13","EnRo GRIFFINS (16)","Playing Ducks (10)","season","ESL Pro Series Germany Winter Season 2013","16123","4686","5009","1271","16","10"
"14/12 13","Playing Ducks (3)","EnRo GRIFFINS (16)","cache","ESL Pro Series Germany Winter Season 2013","16122","5009","4686","1271","3","16"
"14/12 13","EnRo GRIFFINS (11)","Playing Ducks (16)","dust2","ESL Pro Series Germany Winter Season 2013","16121","4686","5009","1271","11","16"
"14/12 13","Reason (0)","über G33KZ (16)","inferno","Gaming.dk SteelSeries Championship Invite Finals 2013","16120","5208","5271","1276","0","16"
"14/12 13","Reason (1)","über G33KZ (16)","dust2","Gaming.dk SteelSeries Championship Invite Finals 2013","16119","5208","5271","1276","1","16"
"14/12 13","AliGon (5)","LGB (16)","dust2","Svecup Grand Finals 2013","16118","4894","5028","1277","5","16"
"14/12 13","LGB (16)","AliGon (3)","inferno","Svecup Grand Finals 2013","16117","5028","4894","1277","16","3"
"13/12 13","NiP (16)","Clan-Mystik (9)","dust2","Fragbite Masters 2013","16116","4411","4948","1266","16","9"
"13/12 13","NiP (16)","Clan-Mystik (3)","inferno","Fragbite Masters 2013","16115","4411","4948","1266","16","3"
"13/12 13","LGB (13)","Clan-Mystik (16)","mirage","Fragbite Masters 2013","16114","5028","4948","1266","13","16"
"13/12 13","Clan-Mystik (16)","LGB (14)","inferno","Fragbite Masters 2013","16113","4948","5028","1266","16","14"
"13/12 13","NiP (16)","über G33KZ (4)","nuke","Fragbite Masters 2013","16112","4411","5271","1266","16","4"
